Filename,size
dBFA2-02M_NaCl_2N-R1-Subpool_S33_R1_001.fastq.gz,37M
dBFA2-21C_2N-R1-Subpool_S32_R1_001.fastq.gz,28M
dBFA2-FLC4_2N-R1-Subpool_S34_R1_001.fastq.gz,12M
dBFA2_h1_Ancestor_YPD_2N_R1_1_R1.fastq.gz,23M
dBFA2_h1_Ancestor_YPD_2N_R1_1_R2.fastq.gz,23M
dBFA2_h1_Ancestor_YPD_2N_R1_2_R1.fastq.gz,23M
dBFA2_h1_Ancestor_YPD_2N_R1_2_R2.fastq.gz,23M
dBFA2_h1_dBFA2-37C-R1-Time16_R1.fastq.gz,203M
dBFA2_h1_dBFA2-37C-R1-Time16_R2.fastq.gz,139M
dBFA2_h1_dBFA2-37C-R1-Time24_R1.fastq.gz,320M
dBFA2_h1_dBFA2-37C-R1-Time24_R2.fastq.gz,321M
dBFA2_h1_dBFA2-37C-R1-Time32_R1.fastq.gz,308M
dBFA2_h1_dBFA2-37C-R1-Time32_R2.fastq.gz,309M
dBFA2_h1_dBFA2-37C-R1-Time40_R1.fastq.gz,273M
dBFA2_h1_dBFA2-37C-R1-Time40_R2.fastq.gz,280M
dBFA2_h1_dBFA2-37C-R1-Time8_R1.fastq.gz,300M
dBFA2_h1_dBFA2-37C-R1-Time8_R2.fastq.gz,306M
dBFA2_h1_dBFA2-37C-R2-Time16_R1.fastq.gz,292M
dBFA2_h1_dBFA2-37C-R2-Time16_R2.fastq.gz,298M
dBFA2_h1_dBFA2-37C-R2-Time24_R1.fastq.gz,236M
dBFA2_h1_dBFA2-37C-R2-Time24_R2.fastq.gz,238M
dBFA2_h1_dBFA2-37C-R2-Time32_R1.fastq.gz,224M
dBFA2_h1_dBFA2-37C-R2-Time32_R2.fastq.gz,229M
dBFA2_h1_dBFA2-37C-R2-Time40_R1.fastq.gz,308M
dBFA2_h1_dBFA2-37C-R2-Time40_R2.fastq.gz,307M
dBFA2_h1_dBFA2-37C-R2-Time8_R1.fastq.gz,357M
dBFA2_h1_dBFA2-37C-R2-Time8_R2.fastq.gz,357M
dBFA2_h1_dBFA2-37C-R3-Time16_R1.fastq.gz,334M
dBFA2_h1_dBFA2-37C-R3-Time16_R2.fastq.gz,336M
dBFA2_h1_dBFA2-37C-R3-Time24_R1.fastq.gz,291M
dBFA2_h1_dBFA2-37C-R3-Time24_R2.fastq.gz,298M
dBFA2_h1_dBFA2-37C-R3-Time32_R1.fastq.gz,93M
dBFA2_h1_dBFA2-37C-R3-Time32_R2.fastq.gz,85M
dBFA2_h1_dBFA2-37C-R3-Time40_R1.fastq.gz,257M
dBFA2_h1_dBFA2-37C-R3-Time40_R2.fastq.gz,258M
dBFA2_h1_dBFA2-37C-R3-Time8_R1.fastq.gz,344M
dBFA2_h1_dBFA2-37C-R3-Time8_R2.fastq.gz,349M
dBFA2_h1_dBFA2-pH3_8-R1-Time16_R1.fastq.gz,247M
dBFA2_h1_dBFA2-pH3_8-R1-Time16_R2.fastq.gz,250M
dBFA2_h1_dBFA2-pH3_8-R1-Time24_R1.fastq.gz,312M
dBFA2_h1_dBFA2-pH3_8-R1-Time24_R2.fastq.gz,316M
dBFA2_h1_dBFA2-pH3_8-R1-Time40_R1.fastq.gz,126M
dBFA2_h1_dBFA2-pH3_8-R1-Time40_R2.fastq.gz,126M
dBFA2_h1_dBFA2-pH3_8-R1-Time8_R1.fastq.gz,255M
dBFA2_h1_dBFA2-pH3_8-R1-Time8_R2.fastq.gz,254M
dBFA2_h1_dBFA2-pH3_8-R2-Time16_R1.fastq.gz,139M
dBFA2_h1_dBFA2-pH3_8-R2-Time16_R2.fastq.gz,142M
dBFA2_h1_dBFA2-pH3_8-R2-Time24_R1.fastq.gz,3.0M
dBFA2_h1_dBFA2-pH3_8-R2-Time24_R2.fastq.gz,3.0M
dBFA2_h1_dBFA2-pH3_8-R2-Time8_R1.fastq.gz,263M
dBFA2_h1_dBFA2-pH3_8-R2-Time8_R2.fastq.gz,266M
dBFA2_h1_dBFA2-pH3_8-R3-Time16_R1.fastq.gz,273M
dBFA2_h1_dBFA2-pH3_8-R3-Time16_R2.fastq.gz,278M
dBFA2_h1_dBFA2-pH3_8-R3-Time24_R1.fastq.gz,296M
dBFA2_h1_dBFA2-pH3_8-R3-Time24_R2.fastq.gz,297M
dBFA2_h1_dBFA2-pH3_8-R3-Time32_R1.fastq.gz,305M
dBFA2_h1_dBFA2-pH3_8-R3-Time32_R2.fastq.gz,306M
dBFA2_h1_dBFA2-pH3_8-R3-Time40_R1.fastq.gz,327M
dBFA2_h1_dBFA2-pH3_8-R3-Time40_R2.fastq.gz,329M
dBFA2_h1_dBFA2-pH3_8-R3-Time8_R1.fastq.gz,270M
dBFA2_h1_dBFA2-pH3_8-R3-Time8_R2.fastq.gz,265M
dBFA2_h1_dBFA2-pH7_3-R1-Time16_R1.fastq.gz,334M
dBFA2_h1_dBFA2-pH7_3-R1-Time16_R2.fastq.gz,337M
dBFA2_h1_dBFA2-pH7_3-R1-Time24_R1.fastq.gz,321M
dBFA2_h1_dBFA2-pH7_3-R1-Time24_R2.fastq.gz,322M
dBFA2_h1_dBFA2-pH7_3-R1-Time32_R1.fastq.gz,371M
dBFA2_h1_dBFA2-pH7_3-R1-Time32_R2.fastq.gz,373M
dBFA2_h1_dBFA2-pH7_3-R1-Time40_R1.fastq.gz,314M
dBFA2_h1_dBFA2-pH7_3-R1-Time40_R2.fastq.gz,318M
dBFA2_h1_dBFA2-pH7_3-R1-Time8_R1.fastq.gz,282M
dBFA2_h1_dBFA2-pH7_3-R1-Time8_R2.fastq.gz,287M
dBFA2_h1_dBFA2-pH7_3-R2-Time16_R1.fastq.gz,36M
dBFA2_h1_dBFA2-pH7_3-R2-Time16_R2.fastq.gz,33M
dBFA2_h1_dBFA2-pH7_3-R2-Time24_R1.fastq.gz,485M
dBFA2_h1_dBFA2-pH7_3-R2-Time24_R2.fastq.gz,464M
dBFA2_h1_dBFA2-pH7_3-R2-Time32_R1.fastq.gz,258M
dBFA2_h1_dBFA2-pH7_3-R2-Time32_R2.fastq.gz,260M
dBFA2_h1_dBFA2-pH7_3-R2-Time40_R1.fastq.gz,384M
dBFA2_h1_dBFA2-pH7_3-R2-Time40_R2.fastq.gz,382M
dBFA2_h1_dBFA2-pH7_3-R2-Time8_R1.fastq.gz,290M
dBFA2_h1_dBFA2-pH7_3-R2-Time8_R2.fastq.gz,292M
dBFA2_h1_dBFA2-pH7_3-R3-Time16_R1.fastq.gz,225M
dBFA2_h1_dBFA2-pH7_3-R3-Time16_R2.fastq.gz,222M
dBFA2_h1_dBFA2-pH7_3-R3-Time24_R1.fastq.gz,378M
dBFA2_h1_dBFA2-pH7_3-R3-Time24_R2.fastq.gz,388M
dBFA2_h1_dBFA2-pH7_3-R3-Time32_R1.fastq.gz,324M
dBFA2_h1_dBFA2-pH7_3-R3-Time32_R2.fastq.gz,324M
dBFA2_h1_dBFA2-pH7_3-R3-Time40_R1.fastq.gz,378M
dBFA2_h1_dBFA2-pH7_3-R3-Time40_R2.fastq.gz,385M
dBFA2_h1_dBFA2-pH7_3-R3-Time8_R1.fastq.gz,313M
dBFA2_h1_dBFA2-pH7_3-R3-Time8_R2.fastq.gz,319M
dBFA2_h1_dBFA2-SC-R1-Time24_R1.fastq.gz,275M
dBFA2_h1_dBFA2-SC-R1-Time24_R2.fastq.gz,280M
dBFA2_h1_dBFA2-SC-R1-Time32_R1.fastq.gz,271M
dBFA2_h1_dBFA2-SC-R1-Time32_R2.fastq.gz,270M
dBFA2_h1_dBFA2-SC-R1-Time40_R1.fastq.gz,308M
dBFA2_h1_dBFA2-SC-R1-Time40_R2.fastq.gz,316M
dBFA2_h1_dBFA2-SC-R1-Time8_R1.fastq.gz,264M
dBFA2_h1_dBFA2-SC-R1-Time8_R2.fastq.gz,271M
dBFA2_h1_dBFA2-SC-R2-Time16_R1.fastq.gz,354M
dBFA2_h1_dBFA2-SC-R2-Time16_R2.fastq.gz,362M
dBFA2_h1_dBFA2-SC-R2-Time24_R1.fastq.gz,331M
dBFA2_h1_dBFA2-SC-R2-Time24_R2.fastq.gz,331M
dBFA2_h1_dBFA2-SC-R2-Time32_R1.fastq.gz,244M
dBFA2_h1_dBFA2-SC-R2-Time32_R2.fastq.gz,249M
dBFA2_h1_dBFA2-SC-R2-Time40_R1.fastq.gz,3.1M
dBFA2_h1_dBFA2-SC-R2-Time40_R2.fastq.gz,3.1M
dBFA2_h1_dBFA2-SC-R2-Time8_R1.fastq.gz,292M
dBFA2_h1_dBFA2-SC-R2-Time8_R2.fastq.gz,290M
dBFA2_h1_dBFA2-SC-R3-Time16_R1.fastq.gz,337M
dBFA2_h1_dBFA2-SC-R3-Time16_R2.fastq.gz,339M
dBFA2_h1_dBFA2-SC-R3-Time24_R1.fastq.gz,304M
dBFA2_h1_dBFA2-SC-R3-Time24_R2.fastq.gz,315M
dBFA2_h1_dBFA2-SC-R3-Time32_R1.fastq.gz,241M
dBFA2_h1_dBFA2-SC-R3-Time32_R2.fastq.gz,241M
dBFA2_h1_dBFA2-SC-R3-Time40_R1.fastq.gz,331M
dBFA2_h1_dBFA2-SC-R3-Time40_R2.fastq.gz,334M
dBFA2_h1_dBFA2-SC-R3-Time8_R1.fastq.gz,274M
dBFA2_h1_dBFA2-SC-R3-Time8_R2.fastq.gz,277M
dBFA2_h1_dBFA2-T0_Pool-NA-Time0_R1.fastq.gz,2.1M
dBFA2_h1_dBFA2-T0_Pool-NA-Time0_R2.fastq.gz,2.2M
dBFA2_h1_dBFA2-YPD-R1-Time16_R1.fastq.gz,279M
dBFA2_h1_dBFA2-YPD-R1-Time16_R2.fastq.gz,272M
dBFA2_h1_dBFA2-YPD-R1-Time24_R1.fastq.gz,309M
dBFA2_h1_dBFA2-YPD-R1-Time24_R2.fastq.gz,310M
dBFA2_h1_dBFA2-YPD-R1-Time32_R1.fastq.gz,448M
dBFA2_h1_dBFA2-YPD-R1-Time32_R2.fastq.gz,452M
dBFA2_h1_dBFA2-YPD-R1-Time8_R1.fastq.gz,386M
dBFA2_h1_dBFA2-YPD-R1-Time8_R2.fastq.gz,387M
dBFA2_h1_dBFA2-YPD-R2-Time16_R1.fastq.gz,370M
dBFA2_h1_dBFA2-YPD-R2-Time16_R2.fastq.gz,371M
dBFA2_h1_dBFA2-YPD-R2-Time24_R1.fastq.gz,266M
dBFA2_h1_dBFA2-YPD-R2-Time24_R2.fastq.gz,261M
dBFA2_h1_dBFA2-YPD-R2-Time32_R1.fastq.gz,372M
dBFA2_h1_dBFA2-YPD-R2-Time32_R2.fastq.gz,375M
dBFA2_h1_dBFA2-YPD-R2-Time40_R1.fastq.gz,315M
dBFA2_h1_dBFA2-YPD-R2-Time40_R2.fastq.gz,317M
dBFA2_h1_dBFA2-YPD-R2-Time8_R1.fastq.gz,355M
dBFA2_h1_dBFA2-YPD-R2-Time8_R2.fastq.gz,358M
dBFA2_h1_dBFA2-YPD-R3-Time16_R1.fastq.gz,241M
dBFA2_h1_dBFA2-YPD-R3-Time16_R2.fastq.gz,238M
dBFA2_h1_dBFA2-YPD-R3-Time24_R1.fastq.gz,228M
dBFA2_h1_dBFA2-YPD-R3-Time24_R2.fastq.gz,224M
dBFA2_h1_dBFA2-YPD-R3-Time32_R1.fastq.gz,409M
dBFA2_h1_dBFA2-YPD-R3-Time32_R2.fastq.gz,416M
dBFA2_h1_dBFA2-YPD-R3-Time40_R1.fastq.gz,305M
dBFA2_h1_dBFA2-YPD-R3-Time40_R2.fastq.gz,303M
dBFA2_h1_dBFA2-YPD-R3-Time8_R1.fastq.gz,398M
dBFA2_h1_dBFA2-YPD-R3-Time8_R2.fastq.gz,395M
dBFA2_h1_Subpool_02M_NaCl_2N_R2_R1.fastq.gz,36M
dBFA2_h1_Subpool_02M_NaCl_2N_R2_R2.fastq.gz,36M
dBFA2_h1_Subpool_21C_2N_R2_R1.fastq.gz,25M
dBFA2_h1_Subpool_21C_2N_R2_R2.fastq.gz,25M
dBFA2_h1_Subpool_37C_2N_R1_R1.fastq.gz,25M
dBFA2_h1_Subpool_37C_2N_R1_R2.fastq.gz,26M
dBFA2_h1_Subpool_37C_2N_R2_R1.fastq.gz,26M
dBFA2_h1_Subpool_37C_2N_R2_R2.fastq.gz,26M
dBFA2_h1_Subpool_48Hr_2N_R1_R1.fastq.gz,27M
dBFA2_h1_Subpool_48Hr_2N_R1_R2.fastq.gz,27M
dBFA2_h1_Subpool_48Hr_2N_R2_R1.fastq.gz,13M
dBFA2_h1_Subpool_48Hr_2N_R2_R2.fastq.gz,13M
dBFA2_h1_Subpool_CLM_2N_R1_R1.fastq.gz,24M
dBFA2_h1_Subpool_CLM_2N_R1_R2.fastq.gz,25M
dBFA2_h1_Subpool_CLM_2N_R2_R1.fastq.gz,24M
dBFA2_h1_Subpool_CLM_2N_R2_R2.fastq.gz,25M
dBFA2_h1_Subpool_FLC4_2N_R2_R1.fastq.gz,25M
dBFA2_h1_Subpool_FLC4_2N_R2_R2.fastq.gz,25M
dBFA2_h1_Subpool_GlyEtOH_2N_R1_R1.fastq.gz,29M
dBFA2_h1_Subpool_GlyEtOH_2N_R1_R2.fastq.gz,29M
dBFA2_h1_Subpool_GlyEtOH_2N_R2_R1.fastq.gz,33M
dBFA2_h1_Subpool_GlyEtOH_2N_R2_R2.fastq.gz,33M
dBFA2_h1_Subpool_pH3_8_2N_R1_R1.fastq.gz,42M
dBFA2_h1_Subpool_pH3_8_2N_R1_R2.fastq.gz,42M
dBFA2_h1_Subpool_pH3_8_2N_R2_R1.fastq.gz,36M
dBFA2_h1_Subpool_pH3_8_2N_R2_R2.fastq.gz,36M
dBFA2_h1_Subpool_pH7_3_2N_R1_R1.fastq.gz,24M
dBFA2_h1_Subpool_pH7_3_2N_R1_R2.fastq.gz,24M
dBFA2_h1_Subpool_pH7_3_2N_R2_R1.fastq.gz,23M
dBFA2_h1_Subpool_pH7_3_2N_R2_R2.fastq.gz,23M
dBFA2_h1_Subpool_SC_2N_R1_R1.fastq.gz,31M
dBFA2_h1_Subpool_SC_2N_R1_R2.fastq.gz,31M
dBFA2_h1_Subpool_SC_2N_R2_R1.fastq.gz,33M
dBFA2_h1_Subpool_SC_2N_R2_R2.fastq.gz,32M
dBFA2_h1_Subpool_YPD_2N_R1_R1.fastq.gz,33M
dBFA2_h1_Subpool_YPD_2N_R1_R2.fastq.gz,33M
dBFA2_h1_Subpool_YPD_2N_R2_R1.fastq.gz,5.4M
dBFA2_h1_Subpool_YPD_2N_R2_R2.fastq.gz,5.5M
dBFA2_s1_dBFA2-21C-R1-Time16_R1.fastq.gz,269M
dBFA2_s1_dBFA2-21C-R1-Time16_R2.fastq.gz,298M
dBFA2_s1_dBFA2-21C-R1-Time24_R1.fastq.gz,268M
dBFA2_s1_dBFA2-21C-R1-Time24_R2.fastq.gz,303M
dBFA2_s1_dBFA2-21C-R1-Time32_R1.fastq.gz,251M
dBFA2_s1_dBFA2-21C-R1-Time32_R2.fastq.gz,277M
dBFA2_s1_dBFA2-21C-R1-Time40_R1.fastq.gz,212M
dBFA2_s1_dBFA2-21C-R1-Time40_R2.fastq.gz,234M
dBFA2_s1_dBFA2-21C-R1-Time8_R1.fastq.gz,311M
dBFA2_s1_dBFA2-21C-R1-Time8_R2.fastq.gz,344M
dBFA2_s1_dBFA2-21C-R2-Time16_R1.fastq.gz,279M
dBFA2_s1_dBFA2-21C-R2-Time16_R2.fastq.gz,307M
dBFA2_s1_dBFA2-21C-R2-Time24_R1.fastq.gz,249M
dBFA2_s1_dBFA2-21C-R2-Time24_R2.fastq.gz,276M
dBFA2_s1_dBFA2-21C-R2-Time32_R1.fastq.gz,556M
dBFA2_s1_dBFA2-21C-R2-Time32_R2.fastq.gz,617M
dBFA2_s1_dBFA2-21C-R2-Time40_R1.fastq.gz,410M
dBFA2_s1_dBFA2-21C-R2-Time40_R2.fastq.gz,454M
dBFA2_s1_dBFA2-21C-R2-Time8_R1.fastq.gz,329M
dBFA2_s1_dBFA2-21C-R2-Time8_R2.fastq.gz,364M
dBFA2_s1_dBFA2-21C-R3-Time16_R1.fastq.gz,377M
dBFA2_s1_dBFA2-21C-R3-Time16_R2.fastq.gz,417M
dBFA2_s1_dBFA2-21C-R3-Time24_R1.fastq.gz,405M
dBFA2_s1_dBFA2-21C-R3-Time24_R2.fastq.gz,447M
dBFA2_s1_dBFA2-21C-R3-Time32_R1.fastq.gz,359M
dBFA2_s1_dBFA2-21C-R3-Time32_R2.fastq.gz,396M
dBFA2_s1_dBFA2-21C-R3-Time40_R1.fastq.gz,379M
dBFA2_s1_dBFA2-21C-R3-Time40_R2.fastq.gz,421M
dBFA2_s1_dBFA2-21C-R3-Time8_R1.fastq.gz,482M
dBFA2_s1_dBFA2-21C-R3-Time8_R2.fastq.gz,547M
dBFA2_s1_dBFA2-FLC4-R1-Time16_R1.fastq.gz,5.1M
dBFA2_s1_dBFA2-FLC4-R1-Time16_R2.fastq.gz,5.7M
dBFA2_s1_dBFA2-FLC4-R1-Time24_R1.fastq.gz,45M
dBFA2_s1_dBFA2-FLC4-R1-Time24_R2.fastq.gz,53M
dBFA2_s1_dBFA2-FLC4-R1-Time32_R1.fastq.gz,31M
dBFA2_s1_dBFA2-FLC4-R1-Time32_R2.fastq.gz,35M
dBFA2_s1_dBFA2-FLC4-R1-Time40_R1.fastq.gz,40M
dBFA2_s1_dBFA2-FLC4-R1-Time40_R2.fastq.gz,45M
dBFA2_s1_dBFA2-FLC4-R1-Time8_R1.fastq.gz,48M
dBFA2_s1_dBFA2-FLC4-R1-Time8_R2.fastq.gz,53M
dBFA2_s1_dBFA2-FLC4-R2-Time16_R1.fastq.gz,6.8M
dBFA2_s1_dBFA2-FLC4-R2-Time16_R2.fastq.gz,7.7M
dBFA2_s1_dBFA2-FLC4-R2-Time24_R1.fastq.gz,24M
dBFA2_s1_dBFA2-FLC4-R2-Time24_R2.fastq.gz,28M
dBFA2_s1_dBFA2-FLC4-R2-Time32_R1.fastq.gz,11M
dBFA2_s1_dBFA2-FLC4-R2-Time32_R2.fastq.gz,12M
dBFA2_s1_dBFA2-FLC4-R2-Time40_R1.fastq.gz,28M
dBFA2_s1_dBFA2-FLC4-R2-Time40_R2.fastq.gz,31M
dBFA2_s1_dBFA2-FLC4-R2-Time8_R1.fastq.gz,43M
dBFA2_s1_dBFA2-FLC4-R2-Time8_R2.fastq.gz,48M
dBFA2_s1_dBFA2-FLC4-R3-Time16_R1.fastq.gz,40M
dBFA2_s1_dBFA2-FLC4-R3-Time16_R2.fastq.gz,44M
dBFA2_s1_dBFA2-FLC4-R3-Time24_R1.fastq.gz,27M
dBFA2_s1_dBFA2-FLC4-R3-Time24_R2.fastq.gz,31M
dBFA2_s1_dBFA2-FLC4-R3-Time32_R1.fastq.gz,28M
dBFA2_s1_dBFA2-FLC4-R3-Time32_R2.fastq.gz,32M
dBFA2_s1_dBFA2-FLC4-R3-Time40_R1.fastq.gz,20M
dBFA2_s1_dBFA2-FLC4-R3-Time40_R2.fastq.gz,23M
dBFA2_s1_dBFA2-FLC4-R3-Time8_R1.fastq.gz,23M
dBFA2_s1_dBFA2-FLC4-R3-Time8_R2.fastq.gz,26M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time16_R1.fastq.gz,127M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time16_R2.fastq.gz,140M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time24_R1.fastq.gz,176M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time24_R2.fastq.gz,200M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time32_R1.fastq.gz,185M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time32_R2.fastq.gz,206M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time40_R1.fastq.gz,118M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time40_R2.fastq.gz,132M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time8_R1.fastq.gz,157M
dBFA2_s1_dBFA2-GlyEtOH-R1-Time8_R2.fastq.gz,174M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time16_R1.fastq.gz,149M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time16_R2.fastq.gz,164M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time24_R1.fastq.gz,153M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time24_R2.fastq.gz,170M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time32_R1.fastq.gz,44M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time32_R2.fastq.gz,49M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time40_R1.fastq.gz,69M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time40_R2.fastq.gz,77M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time8_R1.fastq.gz,68M
dBFA2_s1_dBFA2-GlyEtOH-R2-Time8_R2.fastq.gz,75M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time16_R1.fastq.gz,237M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time16_R2.fastq.gz,262M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time24_R1.fastq.gz,128M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time24_R2.fastq.gz,142M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time32_R1.fastq.gz,172M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time32_R2.fastq.gz,190M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time40_R1.fastq.gz,12M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time40_R2.fastq.gz,13M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time8_R1.fastq.gz,217M
dBFA2_s1_dBFA2-GlyEtOH-R3-Time8_R2.fastq.gz,244M
dBFA2_s1_dBFA2-Pre-R0-Time0_R1.fastq.gz,74M
dBFA2_s1_dBFA2-Pre-R0-Time0_R2.fastq.gz,82M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time16_R1.fastq.gz,291M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time16_R2.fastq.gz,296M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time24_R1.fastq.gz,251M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time24_R2.fastq.gz,257M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time32_R1.fastq.gz,290M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time32_R2.fastq.gz,294M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time40_R1.fastq.gz,305M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time40_R2.fastq.gz,311M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time8_R1.fastq.gz,197M
dBFA2_s2_dBFA2-02M_NaCl-R1-Time8_R2.fastq.gz,201M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time16_R1.fastq.gz,1.3G
dBFA2_s2_dBFA2-02M_NaCl-R2-Time16_R2.fastq.gz,1.3G
dBFA2_s2_dBFA2-02M_NaCl-R2-Time24_R1.fastq.gz,197M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time24_R2.fastq.gz,201M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time32_R1.fastq.gz,95M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time32_R2.fastq.gz,97M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time40_R1.fastq.gz,224M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time40_R2.fastq.gz,228M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time8_R1.fastq.gz,294M
dBFA2_s2_dBFA2-02M_NaCl-R2-Time8_R2.fastq.gz,300M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time16_R1.fastq.gz,39M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time16_R2.fastq.gz,40M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time24_R1.fastq.gz,9.5M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time24_R2.fastq.gz,9.7M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time32_R1.fastq.gz,22M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time32_R2.fastq.gz,22M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time40_R1.fastq.gz,27M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time40_R2.fastq.gz,27M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time8_R1.fastq.gz,81M
dBFA2_s2_dBFA2-02M_NaCl-R3-Time8_R2.fastq.gz,83M
dBFA2_s2_dBFA2-37C_Stan-R1-Time16_R1.fastq.gz,14M
dBFA2_s2_dBFA2-37C_Stan-R1-Time16_R2.fastq.gz,14M
dBFA2_s2_dBFA2-37C_Stan-R1-Time24_R1.fastq.gz,3.2M
dBFA2_s2_dBFA2-37C_Stan-R1-Time24_R2.fastq.gz,3.3M
dBFA2_s2_dBFA2-37C_Stan-R1-Time32_R1.fastq.gz,7.1M
dBFA2_s2_dBFA2-37C_Stan-R1-Time32_R2.fastq.gz,7.2M
dBFA2_s2_dBFA2-37C_Stan-R1-Time40_R1.fastq.gz,8.4M
dBFA2_s2_dBFA2-37C_Stan-R1-Time40_R2.fastq.gz,8.6M
dBFA2_s2_dBFA2-37C_Stan-R1-Time8_R1.fastq.gz,46M
dBFA2_s2_dBFA2-37C_Stan-R1-Time8_R2.fastq.gz,46M
dBFA2_s2_dBFA2-37C_Stan-R2-Time16_R1.fastq.gz,41M
dBFA2_s2_dBFA2-37C_Stan-R2-Time16_R2.fastq.gz,41M
dBFA2_s2_dBFA2-37C_Stan-R2-Time24_R1.fastq.gz,42M
dBFA2_s2_dBFA2-37C_Stan-R2-Time24_R2.fastq.gz,43M
dBFA2_s2_dBFA2-37C_Stan-R2-Time32_R1.fastq.gz,13M
dBFA2_s2_dBFA2-37C_Stan-R2-Time32_R2.fastq.gz,13M
dBFA2_s2_dBFA2-37C_Stan-R2-Time40_R1.fastq.gz,17M
dBFA2_s2_dBFA2-37C_Stan-R2-Time40_R2.fastq.gz,17M
dBFA2_s2_dBFA2-37C_Stan-R2-Time8_R1.fastq.gz,79M
dBFA2_s2_dBFA2-37C_Stan-R2-Time8_R2.fastq.gz,80M
