Filename,size
dBFA2_s2_dBFA2-37C_Stan-R3-Time16_R1.fastq.gz,124M
dBFA2_s2_dBFA2-37C_Stan-R3-Time16_R2.fastq.gz,124M
dBFA2_s2_dBFA2-37C_Stan-R3-Time24_R1.fastq.gz,69M
dBFA2_s2_dBFA2-37C_Stan-R3-Time24_R2.fastq.gz,70M
dBFA2_s2_dBFA2-37C_Stan-R3-Time32_R1.fastq.gz,84M
dBFA2_s2_dBFA2-37C_Stan-R3-Time32_R2.fastq.gz,84M
dBFA2_s2_dBFA2-37C_Stan-R3-Time40_R1.fastq.gz,281K
dBFA2_s2_dBFA2-37C_Stan-R3-Time40_R2.fastq.gz,283K
dBFA2_s2_dBFA2-37C_Stan-R3-Time8_R1.fastq.gz,81M
dBFA2_s2_dBFA2-37C_Stan-R3-Time8_R2.fastq.gz,83M
dBFA2_s2_dBFA2-CLM-R1-Time16_R1.fastq.gz,18M
dBFA2_s2_dBFA2-CLM-R1-Time16_R2.fastq.gz,19M
dBFA2_s2_dBFA2-CLM-R1-Time24_R1.fastq.gz,41M
dBFA2_s2_dBFA2-CLM-R1-Time24_R2.fastq.gz,42M
dBFA2_s2_dBFA2-CLM-R1-Time32_R1.fastq.gz,86M
dBFA2_s2_dBFA2-CLM-R1-Time32_R2.fastq.gz,88M
dBFA2_s2_dBFA2-CLM-R1-Time40_R1.fastq.gz,100M
dBFA2_s2_dBFA2-CLM-R1-Time40_R2.fastq.gz,103M
dBFA2_s2_dBFA2-CLM-R1-Time8_R1.fastq.gz,50M
dBFA2_s2_dBFA2-CLM-R1-Time8_R2.fastq.gz,51M
dBFA2_s2_dBFA2-CLM-R2-Time16_R1.fastq.gz,43M
dBFA2_s2_dBFA2-CLM-R2-Time16_R2.fastq.gz,44M
dBFA2_s2_dBFA2-CLM-R2-Time24_R1.fastq.gz,1.8M
dBFA2_s2_dBFA2-CLM-R2-Time24_R2.fastq.gz,1.8M
dBFA2_s2_dBFA2-CLM-R2-Time32_R1.fastq.gz,19M
dBFA2_s2_dBFA2-CLM-R2-Time32_R2.fastq.gz,19M
dBFA2_s2_dBFA2-CLM-R2-Time40_R1.fastq.gz,1.2M
dBFA2_s2_dBFA2-CLM-R2-Time40_R2.fastq.gz,1.2M
dBFA2_s2_dBFA2-CLM-R2-Time8_R1.fastq.gz,87M
dBFA2_s2_dBFA2-CLM-R2-Time8_R2.fastq.gz,89M
dBFA2_s2_dBFA2-CLM-R3-Time16_R1.fastq.gz,47M
dBFA2_s2_dBFA2-CLM-R3-Time16_R2.fastq.gz,48M
dBFA2_s2_dBFA2-CLM-R3-Time24_R1.fastq.gz,72M
dBFA2_s2_dBFA2-CLM-R3-Time24_R2.fastq.gz,75M
dBFA2_s2_dBFA2-CLM-R3-Time32_R1.fastq.gz,32M
dBFA2_s2_dBFA2-CLM-R3-Time32_R2.fastq.gz,34M
dBFA2_s2_dBFA2-CLM-R3-Time40_R1.fastq.gz,87K
dBFA2_s2_dBFA2-CLM-R3-Time40_R2.fastq.gz,89K
dBFA2_s2_dBFA2-CLM-R3-Time8_R1.fastq.gz,72M
dBFA2_s2_dBFA2-CLM-R3-Time8_R2.fastq.gz,74M
dBFA2_s2_dBFA2-Pre-R14-Time0_R1.fastq.gz,15M
dBFA2_s2_dBFA2-Pre-R14-Time0_R2.fastq.gz,15M
Harvard_dip_LT_37C_2N-R1-Time120_R1.fastq.gz,282M
Harvard_dip_LT_37C_2N-R1-Time120_R2.fastq.gz,281M
Harvard_dip_LT_37C_2N-R1-Time160_R1.fastq.gz,402M
Harvard_dip_LT_37C_2N-R1-Time160_R2.fastq.gz,413M
Harvard_dip_LT_37C_2N-R1-Time200_R1.fastq.gz,256M
Harvard_dip_LT_37C_2N-R1-Time200_R2.fastq.gz,263M
Harvard_dip_LT_37C_2N-R1-Time240_R1.fastq.gz,392M
Harvard_dip_LT_37C_2N-R1-Time240_R2.fastq.gz,392M
Harvard_dip_LT_37C_2N-R1-Time280_R1.fastq.gz,393M
Harvard_dip_LT_37C_2N-R1-Time280_R2.fastq.gz,406M
Harvard_dip_LT_37C_2N-R1-Time320_R1.fastq.gz,376M
Harvard_dip_LT_37C_2N-R1-Time320_R2.fastq.gz,385M
Harvard_dip_LT_37C_2N-R1-Time80_R1.fastq.gz,375M
Harvard_dip_LT_37C_2N-R1-Time80_R2.fastq.gz,375M
Harvard_dip_LT_37C_2N-R1-Time8_R1.fastq.gz,342M
Harvard_dip_LT_37C_2N-R1-Time8_R2.fastq.gz,372M
Harvard_dip_LT_37C_2N-R2-Time120_R1.fastq.gz,394M
Harvard_dip_LT_37C_2N-R2-Time120_R2.fastq.gz,410M
Harvard_dip_LT_37C_2N-R2-Time160_R1.fastq.gz,363M
Harvard_dip_LT_37C_2N-R2-Time160_R2.fastq.gz,369M
Harvard_dip_LT_37C_2N-R2-Time200_R1.fastq.gz,374M
Harvard_dip_LT_37C_2N-R2-Time200_R2.fastq.gz,376M
Harvard_dip_LT_37C_2N-R2-Time240_R1.fastq.gz,214M
Harvard_dip_LT_37C_2N-R2-Time240_R2.fastq.gz,239M
Harvard_dip_LT_37C_2N-R2-Time280_R1.fastq.gz,230M
Harvard_dip_LT_37C_2N-R2-Time280_R2.fastq.gz,230M
Harvard_dip_LT_37C_2N-R2-Time320_R1.fastq.gz,29M
Harvard_dip_LT_37C_2N-R2-Time320_R2.fastq.gz,30M
Harvard_dip_LT_37C_2N-R2-Time80_R1.fastq.gz,391M
Harvard_dip_LT_37C_2N-R2-Time80_R2.fastq.gz,407M
Harvard_dip_LT_37C_2N-R2-Time8_R1.fastq.gz,407M
Harvard_dip_LT_37C_2N-R2-Time8_R2.fastq.gz,425M
Harvard_dip_LT_48Hr_2N-R1-Time120_R1.fastq.gz,276M
Harvard_dip_LT_48Hr_2N-R1-Time120_R2.fastq.gz,298M
Harvard_dip_LT_48Hr_2N-R1-Time160_R1.fastq.gz,162M
Harvard_dip_LT_48Hr_2N-R1-Time160_R2.fastq.gz,163M
Harvard_dip_LT_48Hr_2N-R1-Time200_R1.fastq.gz,367M
Harvard_dip_LT_48Hr_2N-R1-Time200_R2.fastq.gz,381M
Harvard_dip_LT_48Hr_2N-R1-Time240_R1.fastq.gz,1.3M
Harvard_dip_LT_48Hr_2N-R1-Time240_R2.fastq.gz,1.4M
Harvard_dip_LT_48Hr_2N-R1-Time280_R1.fastq.gz,361M
Harvard_dip_LT_48Hr_2N-R1-Time280_R2.fastq.gz,377M
Harvard_dip_LT_48Hr_2N-R1-Time320_R1.fastq.gz,312M
Harvard_dip_LT_48Hr_2N-R1-Time320_R2.fastq.gz,318M
Harvard_dip_LT_48Hr_2N-R1-Time80_R1.fastq.gz,1.4M
Harvard_dip_LT_48Hr_2N-R1-Time80_R2.fastq.gz,1.4M
Harvard_dip_LT_48Hr_2N-R1-Time8_R1.fastq.gz,2.2M
Harvard_dip_LT_48Hr_2N-R1-Time8_R2.fastq.gz,2.0M
Harvard_dip_LT_48Hr_2N-R2-Time120_R1.fastq.gz,224M
Harvard_dip_LT_48Hr_2N-R2-Time120_R2.fastq.gz,227M
Harvard_dip_LT_48Hr_2N-R2-Time160_R1.fastq.gz,965K
Harvard_dip_LT_48Hr_2N-R2-Time160_R2.fastq.gz,992K
Harvard_dip_LT_48Hr_2N-R2-Time200_R1.fastq.gz,232M
Harvard_dip_LT_48Hr_2N-R2-Time200_R2.fastq.gz,250M
Harvard_dip_LT_48Hr_2N-R2-Time240_R1.fastq.gz,199M
Harvard_dip_LT_48Hr_2N-R2-Time240_R2.fastq.gz,198M
Harvard_dip_LT_48Hr_2N-R2-Time280_R1.fastq.gz,144M
Harvard_dip_LT_48Hr_2N-R2-Time280_R2.fastq.gz,145M
Harvard_dip_LT_48Hr_2N-R2-Time320_R1.fastq.gz,246M
Harvard_dip_LT_48Hr_2N-R2-Time320_R2.fastq.gz,252M
Harvard_dip_LT_48Hr_2N-R2-Time80_R1.fastq.gz,1.8M
Harvard_dip_LT_48Hr_2N-R2-Time80_R2.fastq.gz,1.8M
Harvard_dip_LT_48Hr_2N-R2-Time8_R1.fastq.gz,329K
Harvard_dip_LT_48Hr_2N-R2-Time8_R2.fastq.gz,332K
Harvard_dip_LT_pH3_8_2N-R1-Time120_R1.fastq.gz,371M
Harvard_dip_LT_pH3_8_2N-R1-Time120_R2.fastq.gz,379M
Harvard_dip_LT_pH3_8_2N-R1-Time160_R1.fastq.gz,402M
Harvard_dip_LT_pH3_8_2N-R1-Time160_R2.fastq.gz,415M
Harvard_dip_LT_pH3_8_2N-R1-Time200_R1.fastq.gz,521M
Harvard_dip_LT_pH3_8_2N-R1-Time200_R2.fastq.gz,535M
Harvard_dip_LT_pH3_8_2N-R1-Time240_R1.fastq.gz,400M
Harvard_dip_LT_pH3_8_2N-R1-Time240_R2.fastq.gz,412M
Harvard_dip_LT_pH3_8_2N-R1-Time280_R1.fastq.gz,298M
Harvard_dip_LT_pH3_8_2N-R1-Time280_R2.fastq.gz,300M
Harvard_dip_LT_pH3_8_2N-R1-Time320_R1.fastq.gz,100K
Harvard_dip_LT_pH3_8_2N-R1-Time320_R2.fastq.gz,103K
Harvard_dip_LT_pH3_8_2N-R1-Time80_R1.fastq.gz,1.2M
Harvard_dip_LT_pH3_8_2N-R1-Time80_R2.fastq.gz,1.2M
Harvard_dip_LT_pH3_8_2N-R1-Time8_R1.fastq.gz,645K
Harvard_dip_LT_pH3_8_2N-R1-Time8_R2.fastq.gz,683K
Harvard_dip_LT_pH3_8_2N-R2-Time120_R1.fastq.gz,341M
Harvard_dip_LT_pH3_8_2N-R2-Time120_R2.fastq.gz,355M
Harvard_dip_LT_pH3_8_2N-R2-Time160_R1.fastq.gz,374M
Harvard_dip_LT_pH3_8_2N-R2-Time160_R2.fastq.gz,403M
Harvard_dip_LT_pH3_8_2N-R2-Time200_R1.fastq.gz,446M
Harvard_dip_LT_pH3_8_2N-R2-Time200_R2.fastq.gz,451M
Harvard_dip_LT_pH3_8_2N-R2-Time240_R1.fastq.gz,623K
Harvard_dip_LT_pH3_8_2N-R2-Time240_R2.fastq.gz,668K
Harvard_dip_LT_pH3_8_2N-R2-Time280_R1.fastq.gz,2.9M
Harvard_dip_LT_pH3_8_2N-R2-Time280_R2.fastq.gz,3.0M
Harvard_dip_LT_pH3_8_2N-R2-Time320_R1.fastq.gz,315K
Harvard_dip_LT_pH3_8_2N-R2-Time320_R2.fastq.gz,325K
Harvard_dip_LT_pH3_8_2N-R2-Time80_R1.fastq.gz,98K
Harvard_dip_LT_pH3_8_2N-R2-Time80_R2.fastq.gz,102K
Harvard_dip_LT_pH3_8_2N-R2-Time8_R1.fastq.gz,338M
Harvard_dip_LT_pH3_8_2N-R2-Time8_R2.fastq.gz,345M
Harvard_dip_LT_pH7_3_2N-R1-Time120_R1.fastq.gz,140M
Harvard_dip_LT_pH7_3_2N-R1-Time120_R2.fastq.gz,145M
Harvard_dip_LT_pH7_3_2N-R1-Time160_R1.fastq.gz,248M
Harvard_dip_LT_pH7_3_2N-R1-Time160_R2.fastq.gz,257M
Harvard_dip_LT_pH7_3_2N-R1-Time200_R1.fastq.gz,319M
Harvard_dip_LT_pH7_3_2N-R1-Time200_R2.fastq.gz,327M
Harvard_dip_LT_pH7_3_2N-R1-Time240_R1.fastq.gz,248M
Harvard_dip_LT_pH7_3_2N-R1-Time240_R2.fastq.gz,260M
Harvard_dip_LT_pH7_3_2N-R1-Time280_R1.fastq.gz,282M
Harvard_dip_LT_pH7_3_2N-R1-Time280_R2.fastq.gz,287M
Harvard_dip_LT_pH7_3_2N-R1-Time320_R1.fastq.gz,274M
Harvard_dip_LT_pH7_3_2N-R1-Time320_R2.fastq.gz,303M
Harvard_dip_LT_pH7_3_2N-R1-Time80_R1.fastq.gz,456M
Harvard_dip_LT_pH7_3_2N-R1-Time80_R2.fastq.gz,466M
Harvard_dip_LT_pH7_3_2N-R1-Time8_R1.fastq.gz,26M
Harvard_dip_LT_pH7_3_2N-R1-Time8_R2.fastq.gz,27M
Harvard_dip_LT_pH7_3_2N-R2-Time120_R1.fastq.gz,357M
Harvard_dip_LT_pH7_3_2N-R2-Time120_R2.fastq.gz,375M
Harvard_dip_LT_pH7_3_2N-R2-Time160_R1.fastq.gz,291M
Harvard_dip_LT_pH7_3_2N-R2-Time160_R2.fastq.gz,299M
Harvard_dip_LT_pH7_3_2N-R2-Time200_R1.fastq.gz,261M
Harvard_dip_LT_pH7_3_2N-R2-Time200_R2.fastq.gz,262M
Harvard_dip_LT_pH7_3_2N-R2-Time240_R1.fastq.gz,226M
Harvard_dip_LT_pH7_3_2N-R2-Time240_R2.fastq.gz,225M
Harvard_dip_LT_pH7_3_2N-R2-Time280_R1.fastq.gz,269M
Harvard_dip_LT_pH7_3_2N-R2-Time280_R2.fastq.gz,276M
Harvard_dip_LT_pH7_3_2N-R2-Time320_R1.fastq.gz,221M
Harvard_dip_LT_pH7_3_2N-R2-Time320_R2.fastq.gz,224M
Harvard_dip_LT_pH7_3_2N-R2-Time80_R1.fastq.gz,462M
Harvard_dip_LT_pH7_3_2N-R2-Time80_R2.fastq.gz,495M
Harvard_dip_LT_pH7_3_2N-R2-Time8_R1.fastq.gz,497M
Harvard_dip_LT_pH7_3_2N-R2-Time8_R2.fastq.gz,493M
Harvard_dip_LT_SC_2N-R1-Time120_R1.fastq.gz,187M
Harvard_dip_LT_SC_2N-R1-Time120_R2.fastq.gz,190M
Harvard_dip_LT_SC_2N-R1-Time160_R1.fastq.gz,1.1M
Harvard_dip_LT_SC_2N-R1-Time160_R2.fastq.gz,1.1M
Harvard_dip_LT_SC_2N-R1-Time200_R1.fastq.gz,295M
Harvard_dip_LT_SC_2N-R1-Time200_R2.fastq.gz,304M
Harvard_dip_LT_SC_2N-R1-Time240_R1.fastq.gz,418M
Harvard_dip_LT_SC_2N-R1-Time240_R2.fastq.gz,422M
Harvard_dip_LT_SC_2N-R1-Time280_R1.fastq.gz,346M
Harvard_dip_LT_SC_2N-R1-Time280_R2.fastq.gz,356M
Harvard_dip_LT_SC_2N-R1-Time320_R1.fastq.gz,363M
Harvard_dip_LT_SC_2N-R1-Time320_R2.fastq.gz,370M
Harvard_dip_LT_SC_2N-R1-Time80_R1.fastq.gz,5.1M
Harvard_dip_LT_SC_2N-R1-Time80_R2.fastq.gz,5.1M
Harvard_dip_LT_SC_2N-R1-Time8_R1.fastq.gz,1.7M
Harvard_dip_LT_SC_2N-R1-Time8_R2.fastq.gz,1.6M
Harvard_dip_LT_SC_2N-R2-Time120_R1.fastq.gz,2.2M
Harvard_dip_LT_SC_2N-R2-Time120_R2.fastq.gz,2.3M
Harvard_dip_LT_SC_2N-R2-Time160_R1.fastq.gz,72K
Harvard_dip_LT_SC_2N-R2-Time160_R2.fastq.gz,78K
Harvard_dip_LT_SC_2N-R2-Time200_R1.fastq.gz,502M
Harvard_dip_LT_SC_2N-R2-Time200_R2.fastq.gz,509M
Harvard_dip_LT_SC_2N-R2-Time240_R1.fastq.gz,279M
Harvard_dip_LT_SC_2N-R2-Time240_R2.fastq.gz,283M
Harvard_dip_LT_SC_2N-R2-Time280_R1.fastq.gz,340M
Harvard_dip_LT_SC_2N-R2-Time280_R2.fastq.gz,347M
Harvard_dip_LT_SC_2N-R2-Time320_R1.fastq.gz,398M
Harvard_dip_LT_SC_2N-R2-Time320_R2.fastq.gz,410M
Harvard_dip_LT_SC_2N-R2-Time80_R1.fastq.gz,2.5M
Harvard_dip_LT_SC_2N-R2-Time80_R2.fastq.gz,2.6M
Harvard_dip_LT_SC_2N-R2-Time8_R1.fastq.gz,529M
Harvard_dip_LT_SC_2N-R2-Time8_R2.fastq.gz,544M
Harvard_dip_LT_YPD_2N-R1-Time120_R1.fastq.gz,360M
Harvard_dip_LT_YPD_2N-R1-Time120_R2.fastq.gz,365M
Harvard_dip_LT_YPD_2N-R1-Time160_R1.fastq.gz,616M
Harvard_dip_LT_YPD_2N-R1-Time160_R2.fastq.gz,626M
Harvard_dip_LT_YPD_2N-R1-Time200_R1.fastq.gz,449M
Harvard_dip_LT_YPD_2N-R1-Time200_R2.fastq.gz,464M
Harvard_dip_LT_YPD_2N-R1-Time240_R1.fastq.gz,394M
Harvard_dip_LT_YPD_2N-R1-Time240_R2.fastq.gz,404M
Harvard_dip_LT_YPD_2N-R1-Time280_R1.fastq.gz,377M
Harvard_dip_LT_YPD_2N-R1-Time280_R2.fastq.gz,394M
Harvard_dip_LT_YPD_2N-R1-Time320_R1.fastq.gz,405M
Harvard_dip_LT_YPD_2N-R1-Time320_R2.fastq.gz,418M
Harvard_dip_LT_YPD_2N-R1-Time80_R1.fastq.gz,436M
Harvard_dip_LT_YPD_2N-R1-Time80_R2.fastq.gz,436M
Harvard_dip_LT_YPD_2N-R1-Time8_R1.fastq.gz,289M
Harvard_dip_LT_YPD_2N-R1-Time8_R2.fastq.gz,295M
Harvard_dip_LT_YPD_2N-R2-Time120_R1.fastq.gz,291M
Harvard_dip_LT_YPD_2N-R2-Time120_R2.fastq.gz,295M
Harvard_dip_LT_YPD_2N-R2-Time160_R1.fastq.gz,253M
Harvard_dip_LT_YPD_2N-R2-Time160_R2.fastq.gz,258M
Harvard_dip_LT_YPD_2N-R2-Time200_R1.fastq.gz,993M
Harvard_dip_LT_YPD_2N-R2-Time200_R2.fastq.gz,621M
Harvard_dip_LT_YPD_2N-R2-Time240_R1.fastq.gz,492M
Harvard_dip_LT_YPD_2N-R2-Time240_R2.fastq.gz,513M
Harvard_dip_LT_YPD_2N-R2-Time280_R1.fastq.gz,408M
Harvard_dip_LT_YPD_2N-R2-Time280_R2.fastq.gz,420M
Harvard_dip_LT_YPD_2N-R2-Time320_R1.fastq.gz,541M
Harvard_dip_LT_YPD_2N-R2-Time320_R2.fastq.gz,534M
Harvard_dip_LT_YPD_2N-R2-Time80_R1.fastq.gz,275M
Harvard_dip_LT_YPD_2N-R2-Time80_R2.fastq.gz,289M
Harvard_dip_LT_YPD_2N-R2-Time8_R1.fastq.gz,225M
Harvard_dip_LT_YPD_2N-R2-Time8_R2.fastq.gz,236M
hBFA1-21C_alpha-R1-Subpool_S18_R1_001.fastq.gz,35M
hBFA1-21C_alpha-R2-Subpool_S19_R1_001.fastq.gz,32M
hBFA1-37C_alpha-R1-Subpool_S8_R1_001.fastq.gz,13M
hBFA1-37C_alpha-R2-Subpool_S9_R1_001.fastq.gz,14M
hBFA1-CLM_alpha-R1-Subpool_S16_R1_001.fastq.gz,17M
hBFA1-CLM_alpha-R2-Subpool_S17_R1_001.fastq.gz,17M
hBFA1-FLC4_alpha-R1-Subpool_S14_R1_001.fastq.gz,7.8M
hBFA1-FLC4_alpha-R2-Subpool_S15_R1_001.fastq.gz,3.3M
hBFA1-GlyEtOH_alpha-R1-autodiploids_S38_R1_001.fastq.gz,9.2M
hBFA1-GlyEtOH_alpha-R1-Subpool_S36_R1_001.fastq.gz,23M
hBFA1-GlyEtOH_alpha-R2-autodiploids_S39_R1_001.fastq.gz,11M
hBFA1-GlyEtOH_alpha-R2-Subpool_S37_R1_001.fastq.gz,39M
hBFA1_h1_hBFA1-21C-R1-Time16_R1.fastq.gz,99M
hBFA1_h1_hBFA1-21C-R1-Time16_R2.fastq.gz,80M
hBFA1_h1_hBFA1-21C-R1-Time24_R1.fastq.gz,94M
hBFA1_h1_hBFA1-21C-R1-Time24_R2.fastq.gz,76M
hBFA1_h1_hBFA1-21C-R1-Time40_R1.fastq.gz,92M
hBFA1_h1_hBFA1-21C-R1-Time40_R2.fastq.gz,75M
hBFA1_h1_hBFA1-21C-R1-Time8_R1.fastq.gz,87M
hBFA1_h1_hBFA1-21C-R1-Time8_R2.fastq.gz,71M
hBFA1_h1_hBFA1-21C-R2-Time16_R1.fastq.gz,98M
hBFA1_h1_hBFA1-21C-R2-Time16_R2.fastq.gz,79M
hBFA1_h1_hBFA1-21C-R2-Time24_R1.fastq.gz,93M
hBFA1_h1_hBFA1-21C-R2-Time24_R2.fastq.gz,74M
hBFA1_h1_hBFA1-21C-R2-Time40_R1.fastq.gz,107M
hBFA1_h1_hBFA1-21C-R2-Time40_R2.fastq.gz,87M
hBFA1_h1_hBFA1-21C-R2-Time8_R1.fastq.gz,97M
hBFA1_h1_hBFA1-21C-R2-Time8_R2.fastq.gz,79M
hBFA1_h1_hBFA1-37C-R1-Time16_R1.fastq.gz,92M
hBFA1_h1_hBFA1-37C-R1-Time16_R2.fastq.gz,76M
hBFA1_h1_hBFA1-37C-R1-Time24_R1.fastq.gz,94M
hBFA1_h1_hBFA1-37C-R1-Time24_R2.fastq.gz,77M
hBFA1_h1_hBFA1-37C-R1-Time40_R1.fastq.gz,125M
hBFA1_h1_hBFA1-37C-R1-Time40_R2.fastq.gz,110M
hBFA1_h1_hBFA1-37C-R1-Time8_R1.fastq.gz,86M
hBFA1_h1_hBFA1-37C-R1-Time8_R2.fastq.gz,69M
hBFA1_h1_hBFA1-37C-R2-Time16_R1.fastq.gz,109M
hBFA1_h1_hBFA1-37C-R2-Time16_R2.fastq.gz,89M
hBFA1_h1_hBFA1-37C-R2-Time24_R1.fastq.gz,90M
hBFA1_h1_hBFA1-37C-R2-Time24_R2.fastq.gz,73M
hBFA1_h1_hBFA1-37C-R2-Time40_R1.fastq.gz,97M
hBFA1_h1_hBFA1-37C-R2-Time40_R2.fastq.gz,79M
hBFA1_h1_hBFA1-37C-R2-Time8_R1.fastq.gz,110M
hBFA1_h1_hBFA1-37C-R2-Time8_R2.fastq.gz,90M
hBFA1_h1_hBFA1-pH3_8-R1-Time16_R1.fastq.gz,102M
hBFA1_h1_hBFA1-pH3_8-R1-Time16_R2.fastq.gz,81M
hBFA1_h1_hBFA1-pH3_8-R1-Time24_R1.fastq.gz,116M
hBFA1_h1_hBFA1-pH3_8-R1-Time24_R2.fastq.gz,94M
hBFA1_h1_hBFA1-pH3_8-R1-Time40_R1.fastq.gz,104M
hBFA1_h1_hBFA1-pH3_8-R1-Time40_R2.fastq.gz,84M
hBFA1_h1_hBFA1-pH3_8-R1-Time8_R1.fastq.gz,93M
hBFA1_h1_hBFA1-pH3_8-R1-Time8_R2.fastq.gz,75M
hBFA1_h1_hBFA1-pH3_8-R2-Time16_R1.fastq.gz,113M
hBFA1_h1_hBFA1-pH3_8-R2-Time16_R2.fastq.gz,92M
hBFA1_h1_hBFA1-pH3_8-R2-Time24_R1.fastq.gz,134M
hBFA1_h1_hBFA1-pH3_8-R2-Time24_R2.fastq.gz,108M
hBFA1_h1_hBFA1-pH3_8-R2-Time40_R1.fastq.gz,138M
hBFA1_h1_hBFA1-pH3_8-R2-Time40_R2.fastq.gz,110M
hBFA1_h1_hBFA1-pH3_8-R2-Time8_R1.fastq.gz,100M
hBFA1_h1_hBFA1-pH3_8-R2-Time8_R2.fastq.gz,79M
hBFA1_h1_hBFA1-pH7_3-R1-Time16_R1.fastq.gz,104M
hBFA1_h1_hBFA1-pH7_3-R1-Time16_R2.fastq.gz,83M
hBFA1_h1_hBFA1-pH7_3-R1-Time24_R1.fastq.gz,117M
hBFA1_h1_hBFA1-pH7_3-R1-Time24_R2.fastq.gz,94M
hBFA1_h1_hBFA1-pH7_3-R1-Time40_R1.fastq.gz,141M
hBFA1_h1_hBFA1-pH7_3-R1-Time40_R2.fastq.gz,117M
hBFA1_h1_hBFA1-pH7_3-R1-Time8_R1.fastq.gz,114M
hBFA1_h1_hBFA1-pH7_3-R1-Time8_R2.fastq.gz,93M
hBFA1_h1_hBFA1-pH7_3-R2-Time16_R1.fastq.gz,123M
hBFA1_h1_hBFA1-pH7_3-R2-Time16_R2.fastq.gz,99M
hBFA1_h1_hBFA1-pH7_3-R2-Time24_R1.fastq.gz,119M
hBFA1_h1_hBFA1-pH7_3-R2-Time24_R2.fastq.gz,96M
hBFA1_h1_hBFA1-pH7_3-R2-Time40_R1.fastq.gz,127M
hBFA1_h1_hBFA1-pH7_3-R2-Time40_R2.fastq.gz,102M
hBFA1_h1_hBFA1-pH7_3-R2-Time8_R1.fastq.gz,126M
hBFA1_h1_hBFA1-pH7_3-R2-Time8_R2.fastq.gz,101M
hBFA1_h1_hBFA1-POOL_R1.fastq.gz,795M
hBFA1_h1_hBFA1-POOL_R2.fastq.gz,643M
hBFA1_h1_hBFA1-SC-R1-Time16_R1.fastq.gz,77M
hBFA1_h1_hBFA1-SC-R1-Time16_R2.fastq.gz,62M
hBFA1_h1_hBFA1-SC-R1-Time24_R1.fastq.gz,80M
hBFA1_h1_hBFA1-SC-R1-Time24_R2.fastq.gz,66M
