Library,R1_files
hBFA1-21C-R1-Time16,hBFA1_h1_hBFA1-21C-R1-Time16_R1.fastq.gz
hBFA1-21C-R1-Time24,hBFA1_h1_hBFA1-21C-R1-Time24_R1.fastq.gz
hBFA1-21C-R1-Time40,hBFA1_h1_hBFA1-21C-R1-Time40_R1.fastq.gz
hBFA1-21C-R1-Time8,hBFA1_h1_hBFA1-21C-R1-Time8_R1.fastq.gz
hBFA1-21C-R2-Time16,hBFA1_h1_hBFA1-21C-R2-Time16_R1.fastq.gz
hBFA1-21C-R2-Time24,hBFA1_h1_hBFA1-21C-R2-Time24_R1.fastq.gz
hBFA1-21C-R2-Time40,hBFA1_h1_hBFA1-21C-R2-Time40_R1.fastq.gz
hBFA1-21C-R2-Time8,hBFA1_h1_hBFA1-21C-R2-Time8_R1.fastq.gz
hBFA1-21C_alpha-R1-Subpool,hBFA1-21C_alpha-R1-Subpool_S18_R1_001.fastq.gz
hBFA1-21C_alpha-R2-Subpool,hBFA1-21C_alpha-R2-Subpool_S19_R1_001.fastq.gz
hBFA1-37C-R1-Time16,hBFA1_h1_hBFA1-37C-R1-Time16_R1.fastq.gz
hBFA1-37C-R1-Time24,hBFA1_h1_hBFA1-37C-R1-Time24_R1.fastq.gz
hBFA1-37C-R1-Time40,hBFA1_h1_hBFA1-37C-R1-Time40_R1.fastq.gz
hBFA1-37C-R1-Time8,hBFA1_h1_hBFA1-37C-R1-Time8_R1.fastq.gz
hBFA1-37C-R2-Time16,hBFA1_h1_hBFA1-37C-R2-Time16_R1.fastq.gz
hBFA1-37C-R2-Time24,hBFA1_h1_hBFA1-37C-R2-Time24_R1.fastq.gz
hBFA1-37C-R2-Time40,hBFA1_h1_hBFA1-37C-R2-Time40_R1.fastq.gz
hBFA1-37C-R2-Time8,hBFA1_h1_hBFA1-37C-R2-Time8_R1.fastq.gz
hBFA1-37C_alpha-R1-Subpool,hBFA1-37C_alpha-R1-Subpool_S8_R1_001.fastq.gz
hBFA1-37C_alpha-R2-Subpool,hBFA1-37C_alpha-R2-Subpool_S9_R1_001.fastq.gz
hBFA1-48Hr-R1-Time16,hBFA1_h2_hBFA1-48Hr-R1-Time16_R1.fastq.gz
hBFA1-48Hr-R1-Time24,hBFA1_h2_hBFA1-48Hr-R1-Time24_R1.fastq.gz
hBFA1-48Hr-R1-Time40,hBFA1_h2_hBFA1-48Hr-R1-Time40_R1.fastq.gz
hBFA1-48Hr-R1-Time8,hBFA1_h2_hBFA1-48Hr-R1-Time8_R1.fastq.gz
hBFA1-48Hr-R2-Time16,hBFA1_h2_hBFA1-48Hr-R2-Time16_R1.fastq.gz
hBFA1-48Hr-R2-Time24,hBFA1_h2_hBFA1-48Hr-R2-Time24_R1.fastq.gz
hBFA1-48Hr-R2-Time40,hBFA1_h2_hBFA1-48Hr-R2-Time40_R1.fastq.gz
hBFA1-48Hr-R2-Time8,hBFA1_h2_hBFA1-48Hr-R2-Time8_R1.fastq.gz
hBFA1-CLM_alpha-R1-Subpool,hBFA1-CLM_alpha-R1-Subpool_S16_R1_001.fastq.gz
hBFA1-CLM_alpha-R2-Subpool,hBFA1-CLM_alpha-R2-Subpool_S17_R1_001.fastq.gz
hBFA1-FLC4-R2-Time16,hBFA1_h2_hBFA1-FLC4-R2-Time16_R1.fastq.gz
hBFA1-FLC4-R2-Time24,hBFA1_h2_hBFA1-FLC4-R2-Time24_R1.fastq.gz
hBFA1-FLC4-R2-Time40,hBFA1_h2_hBFA1-FLC4-R2-Time40_R1.fastq.gz
hBFA1-FLC4-R2-Time8,hBFA1_h2_hBFA1-FLC4-R2-Time8_R1.fastq.gz
hBFA1-FLC4_alpha-R1-Subpool,hBFA1-FLC4_alpha-R1-Subpool_S14_R1_001.fastq.gz
hBFA1-FLC4_alpha-R2-Subpool,hBFA1-FLC4_alpha-R2-Subpool_S15_R1_001.fastq.gz
hBFA1-GlyEtOH-R1-Time16,hBFA1_h2_hBFA1-GlyEtOH-R1-Time16_R1.fastq.gz
hBFA1-GlyEtOH-R1-Time24,hBFA1_h2_hBFA1-GlyEtOH-R1-Time24_R1.fastq.gz
hBFA1-GlyEtOH-R1-Time40,hBFA1_h2_hBFA1-GlyEtOH-R1-Time40_R1.fastq.gz
hBFA1-GlyEtOH-R1-Time8,hBFA1_h2_hBFA1-GlyEtOH-R1-Time8_R1.fastq.gz
hBFA1-GlyEtOH-R2-Time16,hBFA1_h2_hBFA1-GlyEtOH-R2-Time16_R1.fastq.gz
hBFA1-GlyEtOH-R2-Time24,hBFA1_h2_hBFA1-GlyEtOH-R2-Time24_R1.fastq.gz
hBFA1-GlyEtOH-R2-Time40,hBFA1_h2_hBFA1-GlyEtOH-R2-Time40_R1.fastq.gz
hBFA1-GlyEtOH-R2-Time8,hBFA1_h2_hBFA1-GlyEtOH-R2-Time8_R1.fastq.gz
hBFA1-GlyEtOH_alpha-R1-Subpool,hBFA1-GlyEtOH_alpha-R1-Subpool_S36_R1_001.fastq.gz
hBFA1-GlyEtOH_alpha-R1-autodiploids,hBFA1-GlyEtOH_alpha-R1-autodiploids_S38_R1_001.fastq.gz
hBFA1-GlyEtOH_alpha-R2-Subpool,hBFA1-GlyEtOH_alpha-R2-Subpool_S37_R1_001.fastq.gz
hBFA1-GlyEtOH_alpha-R2-autodiploids,hBFA1-GlyEtOH_alpha-R2-autodiploids_S39_R1_001.fastq.gz
hBFA1-POOL,hBFA1_h1_hBFA1-POOL_R1.fastq.gz
hBFA1-SC-R1-Time16,hBFA1_h1_hBFA1-SC-R1-Time16_R1.fastq.gz
hBFA1-SC-R1-Time24,hBFA1_h1_hBFA1-SC-R1-Time24_R1.fastq.gz
hBFA1-SC-R1-Time40,hBFA1_h1_hBFA1-SC-R1-Time40_R1.fastq.gz
hBFA1-SC-R1-Time8,hBFA1_h1_hBFA1-SC-R1-Time8_R1.fastq.gz
hBFA1-SC-R2-Time16,hBFA1_h1_hBFA1-SC-R2-Time16_R1.fastq.gz
hBFA1-SC-R2-Time24,hBFA1_h1_hBFA1-SC-R2-Time24_R1.fastq.gz
hBFA1-SC-R2-Time40,hBFA1_h1_hBFA1-SC-R2-Time40_R1.fastq.gz
hBFA1-SC-R2-Time8,hBFA1_h1_hBFA1-SC-R2-Time8_R1.fastq.gz
hBFA1-SC_alpha-R1-Subpool,hBFA1-SC_alpha-R1-Subpool_S6_R1_001.fastq.gz
hBFA1-SC_alpha-R2-Subpool,hBFA1-SC_alpha-R2-Subpool_S7_R1_001.fastq.gz
hBFA1-YPD-R1-Time16,hBFA1_h1_hBFA1-YPD-R1-Time16_R1.fastq.gz
hBFA1-YPD-R1-Time24,hBFA1_h1_hBFA1-YPD-R1-Time24_R1.fastq.gz
hBFA1-YPD-R1-Time40,hBFA1_h1_hBFA1-YPD-R1-Time40_R1.fastq.gz
hBFA1-YPD-R1-Time8,hBFA1_h1_hBFA1-YPD-R1-Time8_R1.fastq.gz
hBFA1-YPD-R2-Time16,hBFA1_h1_hBFA1-YPD-R2-Time16_R1.fastq.gz
hBFA1-YPD-R2-Time24,hBFA1_h1_hBFA1-YPD-R2-Time24_R1.fastq.gz
hBFA1-YPD-R2-Time40,hBFA1_h1_hBFA1-YPD-R2-Time40_R1.fastq.gz
hBFA1-YPD-R2-Time8,hBFA1_h1_hBFA1-YPD-R2-Time8_R1.fastq.gz
hBFA1-YPD_alpha-R1-Subpool,hBFA1-YPD_alpha-R1-Subpool_S4_R1_001.fastq.gz
hBFA1-YPD_alpha-R2-Subpool,hBFA1-YPD_alpha-R2-Subpool_S5_R1_001.fastq.gz
hBFA1-pH3_8-R1-Time16,hBFA1_h1_hBFA1-pH3_8-R1-Time16_R1.fastq.gz
hBFA1-pH3_8-R1-Time24,hBFA1_h1_hBFA1-pH3_8-R1-Time24_R1.fastq.gz
hBFA1-pH3_8-R1-Time40,hBFA1_h1_hBFA1-pH3_8-R1-Time40_R1.fastq.gz
hBFA1-pH3_8-R1-Time8,hBFA1_h1_hBFA1-pH3_8-R1-Time8_R1.fastq.gz
hBFA1-pH3_8-R2-Time16,hBFA1_h1_hBFA1-pH3_8-R2-Time16_R1.fastq.gz
hBFA1-pH3_8-R2-Time24,hBFA1_h1_hBFA1-pH3_8-R2-Time24_R1.fastq.gz
hBFA1-pH3_8-R2-Time40,hBFA1_h1_hBFA1-pH3_8-R2-Time40_R1.fastq.gz
hBFA1-pH3_8-R2-Time8,hBFA1_h1_hBFA1-pH3_8-R2-Time8_R1.fastq.gz
hBFA1-pH3_8_alpha-R1-Subpool,hBFA1-pH3_8_alpha-R1-Subpool_S10_R1_001.fastq.gz
hBFA1-pH3_8_alpha-R2-Subpool,hBFA1-pH3_8_alpha-R2-Subpool_S11_R1_001.fastq.gz
hBFA1-pH7_3-R1-Time16,hBFA1_h1_hBFA1-pH7_3-R1-Time16_R1.fastq.gz
hBFA1-pH7_3-R1-Time24,hBFA1_h1_hBFA1-pH7_3-R1-Time24_R1.fastq.gz
hBFA1-pH7_3-R1-Time40,hBFA1_h1_hBFA1-pH7_3-R1-Time40_R1.fastq.gz
hBFA1-pH7_3-R1-Time8,hBFA1_h1_hBFA1-pH7_3-R1-Time8_R1.fastq.gz
hBFA1-pH7_3-R2-Time16,hBFA1_h1_hBFA1-pH7_3-R2-Time16_R1.fastq.gz
hBFA1-pH7_3-R2-Time24,hBFA1_h1_hBFA1-pH7_3-R2-Time24_R1.fastq.gz
hBFA1-pH7_3-R2-Time40,hBFA1_h1_hBFA1-pH7_3-R2-Time40_R1.fastq.gz
hBFA1-pH7_3-R2-Time8,hBFA1_h1_hBFA1-pH7_3-R2-Time8_R1.fastq.gz
hBFA1-pH7_3_alpha-R1-Subpool,hBFA1-pH7_3_alpha-R1-Subpool_S12_R1_001.fastq.gz
hBFA1-pH7_3_alpha-R2-Subpool,hBFA1-pH7_3_alpha-R2-Subpool_S13_R1_001.fastq.gz
